brand;name;type;olfactive-family;pyramid_note;top_notes;middle_notes;base_notes;recommended_usage
Maison Francis Kurkdjian;724;Eau de Parfum;Musk, Floral;Top/Middle/Base;Aldehydes, Bergamot;Jasmine, Sweet Pea, Mock Orange;White Musk, Sandalwood;20-23%
Chanel;1957;Eau de Parfum;Aromatic;Top/Middle/Base;White Musk, Aldehydes, Bergamot, Pink Pepper, Coriander;White Musk, Orange Blossom, Jasmine;White Musk, Orris Root, Cashmeran, Cedarwood, Honey, Vanilla;15-20%
Byredo;1996;Eau de Parfum;Amber, Woody;Top/Middle/Base;Black Pepper, Juniper Berry;Leather, Iris, Violet;Amber, Patchouli, Vanilla;20-25%
Paco Rabanne;1 Million;Eau de Toilette;Leather;Top/Middle/Base;Blood Orange, Grapefruit, Mint;Cinnamon, Rose, Spicy Notes;Amber, Leather, Patchouli, Woody Notes;15%
Paco Rabanne;1 Million Elixir;Parfum;Woody, Aromatic;Top/Middle/Base;Apple, Davana;Damask Rose, Cedarwood, Osmanthus;Vanilla, Tonka Bean, Patchouli;22-24%
Paco Rabanne;1 Million Golden Oud;Eau de Parfum;Leather;Top/Middle/Base;Saffron, Nutmeg, Black Pepper, Bergamot;Patchouli, Gurjun Balsam, Sandalwood;Leather, Agarwood, Cedarwood, Labdanum;20%
Paco Rabanne;1 Million Lucky;Eau de Toilette;Woody;Top/Middle/Base;Plum, Ozonic Notes, Grapefruit, Bergamot;Hazelnut, Honey, Cedarwood, Cashmere Wood, Orange Blossom, Jasmine;Amberwood, Patchouli, Oakmoss, Vetiver;15-16.5%
Paco Rabanne;1 Million Royal;Eau de Parfum;Oriental, Woody;Top/Middle/Base;Cardamom, Tangerine, Bergamot;Lavender, Violet Leaf, Clary Sage;Benzoin, Cedarwood, Patchouli;16-18%
Carolina Herrera;212 Men;Eau de Toilette;Woody, Floral, Musk;Top/Middle/Base;Green Notes, Grapefruit, Spices, Bergamot, Lavender, Petitgrain;Ginger, Violet, Gardenia, Clary Sage;Musk, Sandalwood, Incense, Vetiver, Guaiac Wood, Labdanum;10-12%
Carolina Herrera;212 VIP Rosé;Eau de Parfum;Floral, Fruity;Top/Middle/Base;Champagne Rosé, Pink Pepper;Peach Blossom, Rose;Musk, Woody Notes;18-20%
